,Rada,Deputy URL,Name,Party,Cirty or Region,Сonstituency,Сonstituency Number,List Number,Start Work,End Work,Rada Group,Bio Short,Born,Citizenship,Nationality,Activity,Alma mater,Освіта,Bio Party,Person Married,Child,Awards,Place living,Web Page,Religions,Died
16,1,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%86%D1%8E%D0%B1%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,Коцюба Олександр Павлович,,Київ,Радянський,16.0,,1990-05-15,1994-05-10,,"Віта́лій Опана́сович Карпе́нко (нар. 3 березня 1941, м. Київ) — український журналіст, науковець, громадський діяч. Завідувач кафедри журналістики в університеті «Україна», публіцист, письменник, народний депутат 1 скликання, кандидат філологічних наук, доктор суспільно-економічних наук Українського Вільного університету (Мюнхен, ФРН), академік Української міжнародної академії оригінальних ідей, голова Асоціації світової української преси (з 08.2001 р.), член президії Національної ради Конґресу української інтеліґенції, член НСЖУ (з 1961 р.), член Національної спілки письменників України (з 1982 р.), заслужений журналіст України (з 1992 р.), член Ради старійшин УНП «Собор» (з 12.1999). Автор 32 книг та підручників[2].
",,,,,,,,,,,,,,
17,1,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%94%D1%86%D1%8C_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,Заєць Іван Олександрович,,Київ,Святошинський,17.0,,1990-05-15,1994-05-10,,"Віта́лій Опана́сович Карпе́нко (нар. 3 березня 1941, м. Київ) — український журналіст, науковець, громадський діяч. Завідувач кафедри журналістики в університеті «Україна», публіцист, письменник, народний депутат 1 скликання, кандидат філологічних наук, доктор суспільно-економічних наук Українського Вільного університету (Мюнхен, ФРН), академік Української міжнародної академії оригінальних ідей, голова Асоціації світової української преси (з 08.2001 р.), член президії Національної ради Конґресу української інтеліґенції, член НСЖУ (з 1961 р.), член Національної спілки письменників України (з 1982 р.), заслужений журналіст України (з 1992 р.), член Ради старійшин УНП «Собор» (з 12.1999). Автор 32 книг та підручників[2].
","5 липня 1952(1952-07-05) (66 років)село Лозниця, Народицький район, Житомирська область",Україна,українець,політик,Національний університет біоресурсів і природокористування України,,Народний Рух України,,,,,,,
18,1,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0%D1%82%D0%B8%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,Головатий Сергій Петрович,,Київ,Сирецький,18.0,,1990-05-15,1994-05-10,,"Віта́лій Опана́сович Карпе́нко (нар. 3 березня 1941, м. Київ) — український журналіст, науковець, громадський діяч. Завідувач кафедри журналістики в університеті «Україна», публіцист, письменник, народний депутат 1 скликання, кандидат філологічних наук, доктор суспільно-економічних наук Українського Вільного університету (Мюнхен, ФРН), академік Української міжнародної академії оригінальних ідей, голова Асоціації світової української преси (з 08.2001 р.), член президії Національної ради Конґресу української інтеліґенції, член НСЖУ (з 1961 р.), член Національної спілки письменників України (з 1982 р.), заслужений журналіст України (з 1992 р.), член Ради старійшин УНП «Собор» (з 12.1999). Автор 32 книг та підручників[2].
",29 травня 1954(1954-05-29) (64 роки)місто Одеса,Україна,українець,,,,,,,,,,,
19,1,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BA%D1%80%D0%BE%D1%83%D1%81%D0%BE%D0%B2_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,Мокроусов Анатолій Олексійович,,Київ,Троєщинський,19.0,,1990-05-15,1992-06-18,,"Віта́лій Опана́сович Карпе́нко (нар. 3 березня 1941, м. Київ) — український журналіст, науковець, громадський діяч. Завідувач кафедри журналістики в університеті «Україна», публіцист, письменник, народний депутат 1 скликання, кандидат філологічних наук, доктор суспільно-економічних наук Українського Вільного університету (Мюнхен, ФРН), академік Української міжнародної академії оригінальних ідей, голова Асоціації світової української преси (з 08.2001 р.), член президії Національної ради Конґресу української інтеліґенції, член НСЖУ (з 1961 р.), член Національної спілки письменників України (з 1982 р.), заслужений журналіст України (з 1992 р.), член Ради старійшин УНП «Собор» (з 12.1999). Автор 32 книг та підручників[2].
","14 квітня 1943(1943-04-14) (75 років)Ульяновська область, Російська Радянська Федеративна Соціалістична Республіка, СРСР",,,політик,Київський національний університет технологій та дизайну,,,,,,,,,
20,1,https://uk.wikipedia.org/wiki/%D0%A8%D0%BE%D0%B2%D0%BA%D0%BE%D1%88%D0%B8%D1%82%D0%BD%D0%B8%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,Шовкошитний Володимир Федорович,,Київ,Харківський,20.0,,1990-05-15,1994-05-10,,"Віта́лій Опана́сович Карпе́нко (нар. 3 березня 1941, м. Київ) — український журналіст, науковець, громадський діяч. Завідувач кафедри журналістики в університеті «Україна», публіцист, письменник, народний депутат 1 скликання, кандидат філологічних наук, доктор суспільно-економічних наук Українського Вільного університету (Мюнхен, ФРН), академік Української міжнародної академії оригінальних ідей, голова Асоціації світової української преси (з 08.2001 р.), член президії Національної ради Конґресу української інтеліґенції, член НСЖУ (з 1961 р.), член Національної спілки письменників України (з 1982 р.), заслужений журналіст України (з 1992 р.), член Ради старійшин УНП «Собор» (з 12.1999). Автор 32 книг та підручників[2].
","16 липня 1956(1956-07-16) (62 роки)с. Світанок, Переяслав-Хмельницький  район, Київська область, Українська РСР, СРСР",Україна,українець,"письменник, політик, громадський діяч",Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,,,,,"Почесний професор-асистент університету Південної Флориди(1995, США), 
Літературна премія імені О. Бойченка (1987), 
Літературна премія ім. М. Островського (1988)

Міжнародна літературна премія імені Миколи Гоголя «Тріумф» (2015)",,,,
21,1,https://uk.wikipedia.org/wiki/%D0%84%D0%BC%D0%B5%D1%86%D1%8C_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Ємець Олександр Іванович,,Київ,Центральний,21.0,,1990-05-15,1994-05-10,,"Олекса́ндр Іва́нович Є́мець (нар. 1 січня 1959, Велика Медведівка  — пом. 28 січня 2001) — український правознавець і політик. Його син, Ємець Леонід Олександрович, також став політиком і народним депутатом України.
","1 січня 1959(1959-01-01)Велика Медведівка, Шепетівський район, Хмельницька область, Українська РСР,  СРСР",Україна,,народний депутат України,Київський національний університет імені Тараса Шевченка,,Реформи і порядок,,Ємець Леонід Олександрович,"СРСР:


Україна:",,,,28 січня 2001(2001-01-28) (42 роки)·ДТП
22,1,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%BD%D0%BA%D0%BE_%D0%AE%D1%80%D1%96%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Костенко Юрій Іванович,,Київ,Червоноармійський,22.0,,1990-05-15,1994-05-10,,"Ю́рій Іва́нович Косте́нко (нар.12 червня 1951, Нова Ободівка, Вінницька область) — український політик. Голова Української Народної Партії з грудня 1999 року. Кандидат технічних наук (1986)
","12 червня 1951(1951-06-12) (67 років)Нова Ободівка, Тростянецький район, Вінницька область, Українська РСР, СРСР",Україна,українець,,,,,,,,,,,
23,1,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BA%D1%96%D0%BD_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,Мокін Борис Іванович,,Вінниця,Ленінський,23.0,,1990-05-15,1994-05-10,,"Ю́рій Іва́нович Косте́нко (нар.12 червня 1951, Нова Ободівка, Вінницька область) — український політик. Голова Української Народної Партії з грудня 1999 року. Кандидат технічних наук (1986)
","3 січня 1943(1943-01-03) (75 років)Уманський район, Черкаська область",Україна,,політик,Криворізький національний університет,,,,,,,,,
24,1,https://uk.wikipedia.org/wiki/%D0%97%D1%96%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%90%D1%80%D1%81%D0%B5%D0%BD_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,Зінченко Арсен Леонідович,,Вінниця,Замостянський,24.0,,1990-05-15,1994-05-10,,"Ю́рій Іва́нович Косте́нко (нар.12 червня 1951, Нова Ободівка, Вінницька область) — український політик. Голова Української Народної Партії з грудня 1999 року. Кандидат технічних наук (1986)
",,,,,,,,,,,,,,
25,1,https://uk.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D1%84%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB_(%D0%A1%D0%B0%D0%B2%D0%B2%D1%96%D0%BD),Саввін Олексій Михайлович,,Вінниця,Староміський,25.0,,1990-05-15,1994-05-10,,"Ю́рій Іва́нович Косте́нко (нар.12 червня 1951, Нова Ободівка, Вінницька область) — український політик. Голова Української Народної Партії з грудня 1999 року. Кандидат технічних наук (1986)
",,,росіянин,,,,,,,,,,,
